(0, 1, 0)	2	0	102910	88834	70	70
(1, 0, 0)	2	0	30043	28522	24	24
(0, 2, 0)	1	0	7069	5401	10	9
(2, 0, 0)	2	0	21263	44299	26	26
(0, 3, 0)	1	0	101571	109312	74	73
(3, 0, 0)	2	0	25333	9919	17	17
(0, 4, 0)	2	0	74173	64013	34	34
(4, 0, 0)	2	0	31892	9208	15	15
(0, 5, 0)	1	0	42191	58082	31	30
(5, 0, 0)	2	0	37065	28975	21	21
(0, 6, 0)	1	0	6922	11282	12	11
(6, 0, 0)	2	0	14027	9420	10	10
(0, 7, 0)	1	0	24616	34850	19	18
(7, 0, 0)	2	0	23389	13879	12	12
(0, 8, 0)	1	0	63066	44087	35	34
(8, 0, 0)	2	0	19751	18906	22	22
(0, 9, 0)	1	0	38985	48105	30	29
(9, 0, 0)	2	0	21605	21935	23	23
(0, 10, 0)	1	0	32379	6803	24	23
(10, 0, 0)	2	0	24318	23953	28	28
(0, 11, 0)	1	0	49823	27756	32	31
(11, 0, 0)	2	0	19431	17580	22	22
(0, 12, 0)	1	0	63476	81124	40	39
(12, 0, 0)	2	0	45798	23795	18	18
(0, 13, 0)	1	0	24944	52592	22	21
(13, 0, 0)	2	0	41628	15994	17	17
(0, 14, 0)	2	4	7209	10718	8	8
(14, 0, 0)	2	0	18349	11105	17	17
(0, 15, 0)	1	0	38531	63284	29	28
(15, 0, 0)	2	0	73481	24913	25	25
(0, 16, 0)	1	0	50842	64291	25	24
(16, 0, 0)	2	0	34736	12621	16	16
(0, 17, 0)	1	0	18562	22579	13	12
(17, 0, 0)	2	0	12320	6607	8	8
(0, 18, 0)	1	0	28403	28467	22	21
(18, 0, 0)	2	0	26835	13862	20	20
(0, 19, 0)	1	0	21151	49594	18	17
(19, 0, 0)	2	0	39583	10792	14	14
(0, 20, 0)	1	0	31317	89178	28	27
(20, 0, 0)	2	0	52504	13673	16	16
(0, 21, 0)	1	0	18303	7323	15	14
(21, 0, 0)	2	0	10313	6548	12	12
(0, 22, 0)	1	0	9644	17983	8	7
(22, 0, 0)	2	0	48582	13447	17	17
(0, 23, 0)	1	0	22972	58659	17	16
(23, 0, 0)	2	0	71527	15852	18	18
(0, 24, 0)	1	0	25472	35249	13	12
(24, 0, 0)	2	0	10529	9152	11	11
(0, 25, 0)	1	0	33499	5866	21	20
(25, 0, 0)	2	0	2837	6979	8	8
(0, 26, 0)	1	0	28617	54932	14	13
(26, 0, 0)	2	0	49986	12533	14	14
(0, 27, 0)	1	0	26454	2590	16	15
(27, 0, 0)	2	0	3055	15400	15	15
(0, 28, 0)	1	0	21275	5429	14	13
(28, 0, 0)	2	0	4853	10149	14	14
(0, 29, 0)	1	0	32222	63101	22	21
(29, 0, 0)	2	0	39924	6814	11	11
(0, 30, 0)	1	0	26720	792	14	13
(30, 0, 0)	2	0	140	8869	8	8
(0, 31, 0)	1	0	7285	1592	7	6
(31, 0, 0)	2	0	1749	7494	9	9
(0, 32, 0)	1	0	50637	99	20	19
(32, 0, 0)	2	0	54	14986	14	14
(0, 33, 0)	1	0	7788	3140	10	9
(33, 0, 0)	2	0	4271	8656	13	13
(0, 34, 0)	1	0	23910	83	16	15
(34, 0, 0)	2	0	39	5505	7	7
(0, 35, 0)	1	0	6634	56	7	6
(35, 0, 0)	2	0	420	5829	12	12
(0, 36, 0)	1	0	17449	78	14	13
(36, 0, 0)	2	0	62	9329	12	12
(0, 37, 0)	1	0	4018	729	6	5
(37, 0, 0)	2	0	1312	1892	9	9
(0, 38, 0)	1	0	11497	194	8	7
(38, 0, 0)	2	0	559	11589	11	11
(0, 39, 0)	1	0	3977	16395	8	7
(39, 0, 0)	2	0	7706	4537	4	4
(0, 40, 0)	1	0	10174	204	8	7
(40, 0, 0)	2	0	355	6972	11	11
(0, 41, 0)	1	0	11197	1861	10	9
(41, 0, 0)	2	0	2509	7901	11	11
(0, 42, 0)	1	0	14793	13397	11	10
(42, 0, 0)	2	0	12759	8799	10	10
(0, 43, 0)	1	0	11058	7189	10	9
(43, 0, 0)	2	0	1875	3892	3	3
(0, 44, 0)	1	0	4083	56	6	5
(44, 0, 0)	2	0	84	1879	4	4
(0, 45, 0)	2	0	75072	88636	39	39
(45, 0, 0)	2	0	83146	38326	24	24
(0, 46, 0)	2	0	69493	72241	29	29
(46, 0, 0)	2	0	49764	11604	11	11
